region,indicator,method,year,point,lo80,hi80
Greater Accra,asfr_15_19,RWD,2025,34.853,20.381,49.325
Greater Accra,asfr_15_19,RWD,2030,27.941,4.309,51.574
North East,asfr_15_19,RWD,2025,123.471,99.264,147.677
North East,asfr_15_19,RWD,2030,127.588,88.059,167.117
Northern,asfr_15_19,RWD,2025,71.235,47.294,95.177
Northern,asfr_15_19,RWD,2030,68.294,29.198,107.39
Oti,asfr_15_19,RWD,2025,67.0,29.938,104.062
Oti,asfr_15_19,RWD,2030,57.0,0.0,117.521
Savannah,asfr_15_19,RWD,2025,118.029,94.698,141.361
Savannah,asfr_15_19,RWD,2030,121.412,83.311,159.512
Upper East,asfr_15_19,RWD,2025,67.971,32.634,103.307
Upper East,asfr_15_19,RWD,2030,64.588,6.884,122.293
Upper West,asfr_15_19,RWD,2025,53.824,19.382,88.265
Upper West,asfr_15_19,RWD,2030,48.529,0.0,104.772
Volta,asfr_15_19,RWD,2025,35.441,0.0,76.209
Volta,asfr_15_19,RWD,2030,21.176,0.0,87.749
Western,asfr_15_19,RWD,2025,70.882,41.228,100.537
Western,asfr_15_19,RWD,2030,62.353,13.927,110.779
Western North,asfr_15_19,RWD,2025,49.118,16.559,81.676
Western North,asfr_15_19,RWD,2030,37.647,0.0,90.815
Ahafo,asfr_15_19,Linear,2025,77.341,51.191,103.492
Ahafo,asfr_15_19,Linear,2030,70.697,42.918,98.476
Ashanti,asfr_15_19,Linear,2025,45.991,4.048,87.934
Ashanti,asfr_15_19,Linear,2030,35.104,0.0,79.659
Bono,asfr_15_19,Linear,2025,68.903,34.992,102.815
Bono,asfr_15_19,Linear,2030,60.676,24.653,96.699
Bono East,asfr_15_19,Linear,2025,88.591,66.98,110.203
Bono East,asfr_15_19,Linear,2030,84.059,61.102,107.016
Central,asfr_15_19,Linear,2025,74.422,45.214,103.63
Central,asfr_15_19,Linear,2030,64.69,33.664,95.717
Eastern,asfr_15_19,Linear,2025,51.266,28.37,74.163
Eastern,asfr_15_19,Linear,2030,40.76,16.438,65.082
Greater Accra,asfr_15_19,Linear,2025,23.632,4.049,43.216
Greater Accra,asfr_15_19,Linear,2030,17.373,0.0,38.176
North East,asfr_15_19,Linear,2025,100.585,72.446,128.725
North East,asfr_15_19,Linear,2030,99.191,69.299,129.083
Northern,asfr_15_19,Linear,2025,83.71,57.343,110.078
Northern,asfr_15_19,Linear,2030,79.149,51.139,107.158
Oti,asfr_15_19,Linear,2025,74.275,40.234,108.315
Oti,asfr_15_19,Linear,2030,69.899,33.739,106.059
Savannah,asfr_15_19,Linear,2025,98.828,71.749,125.906
Savannah,asfr_15_19,Linear,2030,97.103,68.339,125.868
Upper East,asfr_15_19,Linear,2025,63.351,31.179,95.522
Upper East,asfr_15_19,Linear,2030,59.971,25.797,94.146
Upper West,asfr_15_19,Linear,2025,55.049,28.084,82.015
Upper West,asfr_15_19,Linear,2030,49.453,20.809,78.098
Volta,asfr_15_19,Linear,2025,64.079,26.357,101.801
Volta,asfr_15_19,Linear,2030,57.79,17.719,97.861
Western,asfr_15_19,Linear,2025,61.876,23.777,99.976
Western,asfr_15_19,Linear,2030,53.489,13.017,93.96
Western North,asfr_15_19,Linear,2025,54.845,17.129,92.561
Western North,asfr_15_19,Linear,2030,45.138,5.073,85.203
Ahafo,asfr_15_19,LogLinear,2025,77.98,56.478,99.482
Ahafo,asfr_15_19,LogLinear,2030,72.989,51.61,94.369
Ashanti,asfr_15_19,LogLinear,2025,52.482,25.746,79.219
Ashanti,asfr_15_19,LogLinear,2030,46.873,21.508,72.239
Bono,asfr_15_19,LogLinear,2025,65.161,33.494,96.828
Bono,asfr_15_19,LogLinear,2030,58.969,28.527,89.412
Bono East,asfr_15_19,LogLinear,2025,90.625,74.26,106.99
Bono East,asfr_15_19,LogLinear,2030,87.251,70.515,103.988
Central,asfr_15_19,LogLinear,2025,76.87,54.9,98.839
Central,asfr_15_19,LogLinear,2030,70.322,48.973,91.671
Eastern,asfr_15_19,LogLinear,2025,56.204,41.518,70.89
Eastern,asfr_15_19,LogLinear,2030,50.085,36.183,63.987
Greater Accra,asfr_15_19,LogLinear,2025,28.418,17.113,39.724
Greater Accra,asfr_15_19,LogLinear,2030,25.289,14.602,35.976
North East,asfr_15_19,LogLinear,2025,100.398,74.565,126.23
North East,asfr_15_19,LogLinear,2030,99.32,72.173,126.466
Northern,asfr_15_19,LogLinear,2025,84.056,62.774,105.337
Northern,asfr_15_19,LogLinear,2030,80.427,58.796,102.057
Oti,asfr_15_19,LogLinear,2025,75.819,49.091,102.548
Oti,asfr_15_19,LogLinear,2030,72.817,45.549,100.086
Savannah,asfr_15_19,LogLinear,2025,98.919,74.365,123.473
Savannah,asfr_15_19,LogLinear,2030,97.585,71.854,123.316
Upper East,asfr_15_19,LogLinear,2025,64.528,34.872,94.185
Upper East,asfr_15_19,LogLinear,2030,62.405,31.938,92.871
Upper West,asfr_15_19,LogLinear,2025,55.308,34.666,75.951
Upper West,asfr_15_19,LogLinear,2030,51.308,30.966,71.65
Volta,asfr_15_19,LogLinear,2025,63.457,34.879,92.035
Volta,asfr_15_19,LogLinear,2030,58.942,30.745,87.14
Western,asfr_15_19,LogLinear,2025,66.097,39.128,93.065
Western,asfr_15_19,LogLinear,2030,61.048,34.588,87.508
Western North,asfr_15_19,LogLinear,2025,59.368,34.954,83.782
Western North,asfr_15_19,LogLinear,2030,53.74,30.264,77.215
Ahafo,asfr_15_19,LSTM,2025,46.683,22.539,66.76
Ahafo,asfr_15_19,LSTM,2030,24.152,1.371,43.313
Ashanti,asfr_15_19,LSTM,2025,61.42,32.99,86.544
Ashanti,asfr_15_19,LSTM,2030,40.255,21.822,68.559
Bono,asfr_15_19,LSTM,2025,44.801,15.763,63.441
Bono,asfr_15_19,LSTM,2030,10.4,0.0,31.973
Bono East,asfr_15_19,LSTM,2025,50.338,32.726,64.531
Bono East,asfr_15_19,LSTM,2030,44.016,24.208,80.119
Central,asfr_15_19,LSTM,2025,46.774,15.95,77.997
Central,asfr_15_19,LSTM,2030,29.316,4.0,61.011
Eastern,asfr_15_19,LSTM,2025,56.409,41.65,74.958
Eastern,asfr_15_19,LSTM,2030,44.486,23.149,54.324
Greater Accra,asfr_15_19,LSTM,2025,36.447,30.904,40.367
Greater Accra,asfr_15_19,LSTM,2030,21.462,16.741,26.707
North East,asfr_15_19,LSTM,2025,88.862,61.003,130.125
North East,asfr_15_19,LSTM,2030,63.539,2.433,143.698
Northern,asfr_15_19,LSTM,2025,60.634,40.176,75.091
Northern,asfr_15_19,LSTM,2030,23.736,0.0,50.559
Oti,asfr_15_19,LSTM,2025,49.454,37.809,68.781
Oti,asfr_15_19,LSTM,2030,43.643,20.13,81.033
Savannah,asfr_15_19,LSTM,2025,87.661,64.319,125.168
Savannah,asfr_15_19,LSTM,2030,60.27,0.0,148.806
Upper East,asfr_15_19,LSTM,2025,66.174,53.352,82.109
Upper East,asfr_15_19,LSTM,2030,43.642,24.575,74.442
Upper West,asfr_15_19,LSTM,2025,65.132,49.165,76.415
Upper West,asfr_15_19,LSTM,2030,37.299,15.561,65.667
Volta,asfr_15_19,LSTM,2025,54.276,51.08,64.551
Volta,asfr_15_19,LSTM,2030,21.06,0.0,42.566
Western,asfr_15_19,LSTM,2025,56.963,33.036,79.153
Western,asfr_15_19,LSTM,2030,43.758,27.136,76.208
Western North,asfr_15_19,LSTM,2025,55.944,34.767,73.232
Western North,asfr_15_19,LSTM,2030,24.438,0.594,55.92
Ahafo,tfr_15_49,LeeCarter,2025,4.07,3.299,5.135
Ahafo,tfr_15_49,LeeCarter,2030,3.714,2.649,5.397
Ashanti,tfr_15_49,LeeCarter,2025,3.401,3.036,3.843
Ashanti,tfr_15_49,LeeCarter,2030,3.2,2.667,3.887
Bono,tfr_15_49,LeeCarter,2025,3.48,2.953,4.107
Bono,tfr_15_49,LeeCarter,2030,3.16,2.408,4.126
Bono East,tfr_15_49,LeeCarter,2025,4.544,3.635,5.869
Bono East,tfr_15_49,LeeCarter,2030,4.222,2.944,6.442
Central,tfr_15_49,LeeCarter,2025,3.477,2.935,4.101
Central,tfr_15_49,LeeCarter,2030,3.222,2.413,4.214
Eastern,tfr_15_49,LeeCarter,2025,3.351,3.01,3.727
Eastern,tfr_15_49,LeeCarter,2030,3.09,2.579,3.668
Greater Accra,tfr_15_49,LeeCarter,2025,2.91,2.436,7.822
Greater Accra,tfr_15_49,LeeCarter,2030,2.811,2.117,46.621
North East,tfr_15_49,LeeCarter,2025,6.793,6.514,7.251
North East,tfr_15_49,LeeCarter,2030,6.749,6.371,7.594
Northern,tfr_15_49,LeeCarter,2025,5.563,5.517,5.785
Northern,tfr_15_49,LeeCarter,2030,5.587,5.518,6.081
Oti,tfr_15_49,LeeCarter,2025,4.973,4.108,6.519
Oti,tfr_15_49,LeeCarter,2030,4.586,3.469,7.077
Savannah,tfr_15_49,LeeCarter,2025,5.798,5.577,6.155
Savannah,tfr_15_49,LeeCarter,2030,5.738,5.456,6.356
Upper East,tfr_15_49,LeeCarter,2025,4.539,4.299,4.85
Upper East,tfr_15_49,LeeCarter,2030,4.428,4.081,4.921
Upper West,tfr_15_49,LeeCarter,2025,4.466,4.142,4.888
Upper West,tfr_15_49,LeeCarter,2030,4.322,3.858,4.993
Volta,tfr_15_49,LeeCarter,2025,3.016,2.403,3.776
Volta,tfr_15_49,LeeCarter,2030,2.721,1.851,3.917
Western,tfr_15_49,LeeCarter,2025,3.587,3.241,4.095
Western,tfr_15_49,LeeCarter,2030,3.669,3.192,4.804
Western North,tfr_15_49,LeeCarter,2025,3.79,3.774,3.876
Western North,tfr_15_49,LeeCarter,2030,3.809,3.775,4.019
