region,year,age_first_birth,age_first_marriage,any_contra_married,asfr_15_19,edu_secondary_women,mcpr_all_women,mcpr_married,tfr_15_49,unmet_need
Volta,2008,20.4,19.2,28.6,79.0,52.4,15.7,20.5,3.8,34.8
Volta,2014,21.1,20.5,32.2,107.0,58.7,24.0,29.5,4.3,36.3
Volta,2016,,,,68.0,62.3,,,4.2,
Volta,2019,,,,90.0,58.1,,,4.1,
Volta,2022,22.2,21.7,35.6,44.0,76.4,23.7,29.3,3.2,28.1
Western,1988,19.2,18.0,8.2,134.0,,3.8,3.2,6.4,
Western,1993,19.1,18.3,26.4,150.0,9.5,10.6,14.4,5.4,32.8
Western,1998,19.7,19.2,18.3,87.0,50.9,7.5,8.7,4.3,40.5
Western,2003,20.0,19.5,28.2,76.0,53.2,14.4,17.7,4.5,32.0
Western,2008,21.0,20.3,19.1,58.0,61.7,10.9,13.2,4.2,40.1
Western,2014,21.3,19.8,27.1,63.0,65.9,20.4,23.3,3.6,27.4
Western,2016,,,,94.0,64.6,,,4.3,
Western,2019,,,,94.0,71.7,,,3.9,
Western,2022,21.6,23.5,44.8,76.0,76.9,28.1,35.5,3.6,18.5
Western North,1988,19.2,18.0,8.2,134.0,,3.8,3.2,6.4,
Western North,1993,19.1,18.3,26.4,150.0,9.5,10.6,14.4,5.4,32.8
Western North,1998,19.7,19.2,18.3,87.0,50.9,7.5,8.7,4.3,40.5
Western North,2003,20.0,19.5,28.2,76.0,53.2,14.4,17.7,4.5,32.0
Western North,2008,21.0,20.3,19.1,58.0,61.7,10.9,13.2,4.2,40.1
Western North,2014,21.3,19.8,27.1,63.0,65.9,20.4,23.3,3.6,27.4
Western North,2016,,,,94.0,64.6,,,4.3,
Western North,2019,,,,94.0,71.7,,,3.9,
Western North,2022,21.1,20.4,39.2,56.0,71.1,25.2,29.1,3.8,22.7
